short_description,header_image,categories,genres
"Discover the secrets of the Calamity, a surreal catastrophe that shattered the world to pieces.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/107100/header.jpg?t=1729113932,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Indie, RPG"
"Bright Memory: Infinite is an all-new lightning-fast fusion of the FPS and action genres, created by FYQD-Studio. Combine a wide variety of skills and abilities to unleash dazzling combo attacks.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1178830/header.jpg?t=1734415707,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Action, Indie"
"Paradox Development Studio invites you to build your ideal society in the tumult of the exciting and transformative 19th century. Balance the competing interests in your society and earn your place in the sun in Victoria 3, one of the most anticipated games in Paradox’s history.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/529340/header.jpg?t=1773948759,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing","Simulation, Strategy"
"SANABI is an exhilarating stylish dystopian action-platformer. Play as a legendary retired veteran and use your signature prosthetic arm to jump over cliffs and skyscrapers, zip through bullets and traps and defeat powerful enemies.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1562700/header.jpg?t=1764564242,"Single-player, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure, Indie"
Rounds is a 1v1 rogue-lite shooter where each round gets more intense. The losing player of each round unlocks clever upgrades to create a better build to counter their opponent.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1557740/header.jpg?t=1759328419,"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing","Action, Indie"
"Life is Strange: Before the Storm is a new three part standalone story adventure set three years before the events of the first game. This time play as Chloe Price, a rebel who forms an unlikely friendship with Rachel Amber in a dramatic new story in the BAFTA award winning franchise.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/554620/header.jpg?t=1773409621,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Custom Volume Controls, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing","Action, Adventure"
Contains full Rising Storm content as well!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/35450/header.jpg?t=1552425243,"Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Includes level editor, Family Sharing","Action, Massively Multiplayer, Simulation"
"Cut-throat multiplayer running game that pits 4 players against each other, locally and/or online. Run, jump, swing around, and use devious weapons and pick-ups to knock opponents off-screen! One of the most competitive games you'll ever play.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/207140/header.jpg?t=1772095212,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Casual, Indie, Racing, Sports"
"MudRunner is the ultimate off-road experience putting the players in the driver seat and dares them to take charge of incredible all-terrain vehicles, venturing across extreme Siberian landscapes with only a map and compass as guides!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/675010/header.jpg?t=1729687266,"Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",Simulation
"Loadout is an outrageous new multi-player shooter that’s all about the guns, baby! Build a massive variety of absolutely insane weaponry - billions of combinations - totally customized, totally unique, and totally deadly.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/208090/header.jpg?t=1558742738,"Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled","Action, Free To Play, Indie"
"ICARUS is a solo or multiplayer PvE survival game. Explore a savage wilderness in the aftermath of terraforming gone wrong. Complete narrative quests as either Open World operations or Individual Missions. Explore, build, craft and hunt while seeking your fortune and prospecting for exotic matter.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1149460/header.jpg?t=1772745915,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Action, Adventure, Simulation"
"Wreckfest is a demolition derby themed racing game with soft-body damage modeling, sophisticated driving dynamics and in-depth vehicle upgrading, featuring both demolition derbies and more traditional track races. It’s all about fun, breakneck racing and over-the-top crashes.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/228380/header.jpg?t=1742490584,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Action, Indie, Racing, Simulation, Sports"
Play Evolve for free with Evolve Stage 2! Evolve Stage 2 is a next-generation free multiplayer shooter featuring addictive 4v1 gameplay. One player-controlled monster must evade and outsmart a team of four uniquely skilled hunters.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/273350/header.jpg?t=1568755531,"Single-player, Multi-player, Co-op, Full controller support, Steam Trading Cards, Valve Anti-Cheat enabled, Family Sharing","Action, Free To Play"
"Want to play the hardest cooperative 2D platformer ever? Want to finish no map ever? Want to be in pain for hours and cry, getting nothing in return? Come play DDNet with a large community of other sufferers!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/412220/header.jpg?t=1757418450,"Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Includes level editor","Action, Indie, Free To Play"
"TEKKEN 8 is the latest addition to the TEKKEN series, the pinnacle of 3D fighting games. Join the fight with over 32 characters and bear witness to the next installment in this epic saga. Get ready for the biggest and best TEKKEN game ever made!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1778820/f69b0f7c35aa8c966d9ff74c2bae548dbea072e4/header.jpg?t=1770678135,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",Action
"Temtem is an online creature-collection adventure. Tame 165 unique creatures across 7 vibrant islands, battle other tamers, tackle mythical Lairs, chase Luma &amp; Umbra variants, and breed your favorite Tems - with friends by your side! Dive into a colorful monster catching adventure, so Temtem up!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/745920/header.jpg?t=1773698361,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Save Anytime, Stereo Sound, Touch Only Option, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV","Adventure, Indie, Massively Multiplayer, RPG"
"Become the best thief. Gather intel, steal things and sell them to buy hi-tech equipment. Do everything that a real thief does.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/704850/header.jpg?t=1776345358,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure, Indie, Simulation"
"&quot;What is love?&quot; We try to answer that with this game. The game encourages people to have a warm, soft, and understanding heart.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/939400/header.jpg?t=1679322588,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Indie, RPG, Simulation"
"Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1235140/header.jpg?t=1763642826,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","Action, Adventure, RPG"
"The Walking Dead: Season Two continues the story of Clementine, a young girl orphaned by the undead apocalypse. Left to fend for herself, she has been forced to learn how to survive in a world gone mad.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261030/header.jpg?t=1729703055,"Single-player, Steam Achievements, Full controller support, Family Sharing",Adventure
"Half-Life 2 has sold over 4 million copies worldwide, and earned over 35 Game of the Year Awards. Episode One is the first in a series of games that reveal the aftermath of Half-Life 2 and launch a journey beyond City 17. Also features two multiplayer games. Half-Life 2 not required.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/380/header.jpg?t=1745368553,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Stats, Includes Source SDK, Commentary available, Family Sharing",Action
"CRSED: Cuisine Royale – is a brutal MMO last-man-standing shooter with realistic weaponry, elements of lethal mystic forces and incredible superpowers!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/884660/header.jpg?t=1774450396,"Single-player, Multi-player, MMO, PvP, Online PvP, Steam Achievements, Full controller support, In-App Purchases","Action, Massively Multiplayer, Free To Play"
"The Talos Principle is a first-person puzzle game in the tradition of philosophical science fiction. Made by Croteam and written by Tom Jubert (FTL, The Swapper) and Jonas Kyratzes (The Sea Will Claim Everything).",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/257510/header.jpg?t=1744327639,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on TV, Family Sharing","Action, Adventure, Indie"
"NOTE: All multiplayer servers for NBA 2K20 will be shutdown as of 12/31/2021. After that time, all game functions requiring online servers will no longer function.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1089350/header.jpg?t=1663810795,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Simulation, Sports"
"Every story has a beginning in F1® 2021, the official videogame of the 2021 FIA FORMULA ONE WORLD CHAMPIONSHIP™. Enjoy the stunning new features of F1® 2021, including the thrilling story experience ‘Braking Point’, two-player Career, and get even closer to the grid with ‘Real-Season Start’.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1134570/header.jpg?t=1683125705,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Workshop, In-App Purchases, Steam Cloud, Family Sharing","Racing, Simulation, Sports"
Call of Duty®: WWII - a breathtaking experience that redefines World War II.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/476600/header.jpg?t=1751302904,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on TV, Family Sharing",Action
"The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 Days, and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449690/header.jpg?t=1760651835,"Single-player, Steam Achievements, Full controller support, Family Sharing",Adventure
"Race to the top, definitely don’t flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides, and light up the streets with your style.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1846380/eacea0635efb7af9054f6b299060fee32404ace7/header.jpg?t=1761146151,"Single-player, Multi-player, PvP, Cross-Platform Multiplayer, Steam Achievements, Chat Speech-to-text, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Partial Controller Support, HDR available","Action, Racing"
"A dark fantasy city builder where you must rebuild civilization in the face of apocalyptic rains. As the Queen’s Viceroy, lead humans, beavers, lizards, foxes, and harpies to reclaim the wilderness and secure a future for civilization's last survivors.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1336490/header.jpg?t=1776359493,"Single-player, Steam Achievements, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing","Simulation, Strategy"
"Bright Memory is a lightning-fast fusion of the FPS and action genres, created by one-man development studio FYQD using Unreal Engine. Combine a wide variety of skills and abilities to unleash dazzling combo attacks.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/955050/header.jpg?t=1734416166,"Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Action, Adventure, Indie"
Celebrate 25 years of PES with the eFootball PES 2021 Season Update* - available at a special anniversary price!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1259970/header.jpg?t=1639008061,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, In-App Purchases, Partial Controller Support, Remote Play on Tablet, Family Sharing",Sports
Walk-n-talk adventure with light puzzling. Brother and sister practice cannibalism after witnessing a botched satanic ritual.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2378900/0badd5423ec8cb36d543b7b156121ac2d38ef330/header.jpg?t=1774434375,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, RPG, Early Access"
Builder. Farmer. Hunter. Trader. Ranching certainly isn’t your average job. Think you have the skills to turn your family’s rundown homestead into the most prosperous ranch in the valley? Then it’s time to head out into the wilderness in this captivating single and multiplayer open-world simulator.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1119730/edbc791f576913bd2b7d3aeeed8bc5dd73614872/header.jpg?t=1771847995,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing",Simulation
"Craft, Steal, Brawl and Escape! It’s time to bust out of the toughest prisons in the world as you return to the life of an inmate in The Escapists 2, now with multiplayer! Have you got what it takes to escape?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/641990/header.jpg?t=1764006025,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Indie, Simulation, Strategy"
It is four thousand years before the Galactic Empire and hundreds of Jedi Knights have fallen in battle against the ruthless Sith. You are the last hope of the Jedi Order. Can you master the awesome power of the Force on your quest to save the Republic? Or will you fall to the lure of the dark side?,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/32370/header.jpg?t=1681144833,"Single-player, Steam Cloud, Family Sharing","Adventure, RPG"
"Enjoy action-packed flashy combat with incredibly satisfying combos and responsive controls! Numerous characters, each with completely unique playstyles and loads of unlockable moves &amp; upgrades! This action roguelike sets the bar for fluid fast-paced action.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2273430/header.jpg?t=1770862049,"Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure, Indie"
Enter the parallel worlds enriched by the stories and match-3 games developed using cel-shading techniques powered by Unreal Engine 4. Ponder on your choices because each of them will determine the fate of all.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1832640/header.jpg?t=1673932541,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing","Adventure, Indie, RPG, Early Access"
The Sims 3: Create the perfect world with full customization at your fingertips. Refine personalities and help fulfill destinies.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/47890/header.jpg?t=1738703889,"Single-player, Family Sharing",Simulation
Start your own Freddy Fazbear's Pizzeria with Freddy Fazbear Pizzeria Simulator!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/738060/header.jpg?t=1512422259,Single-player,"Free To Play, Indie, Simulation"
"Counter-Strike Nexon is a Free to Play MMOFPS offering competitive PvP and PvE action including content from the original Counter-Strike and all new game modes, map creation function, weapons, and hordes of Zombies!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/273110/header.jpg?t=1769480763,"Single-player, Multi-player, MMO, Co-op, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases","Action, Casual, Indie, Massively Multiplayer, Free To Play"
"Paint the Town Red is a chaotic first person melee combat game set in different locations and time periods. The voxel-based enemies can be punched, bashed, kicked, stabbed and sliced completely dynamically using almost anything that isn't nailed down.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/337320/header.jpg?t=1747124279,"Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing","Action, Indie"
"A mysterious invitation leads to the attic of an abandoned house. In the room is a cast-iron safe laced with strange carvings and on top, a note from your distant companion. It promises something ancient and astonishing concealed in the iron chamber - you need only find a way in.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/288160/header.jpg?t=1646758287,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Indie"
An online party game of drawing and guessing for up to 16 players with a variety of modes. Bring out the best (or worst) of your drawing and guessing skills!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1483870/header.jpg?t=1750853008,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, Steam Workshop, In-App Purchases, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Touch Only Option, Includes level editor, Family Sharing","Casual, Indie"
"Unite the Veilguard and defy the gods in Dragon Age™: The Veilguard, an immersive single-player RPG.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1845910/header.jpg?t=1748968382,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, HDR available, Family Sharing","Action, Adventure, RPG, Strategy"
Lost at sea 1803 ~ The good ship Obra Dinn.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/653530/header.jpg?t=1686697594,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Indie"
"Farming Simulator 25 invites you to join the rewarding farm life, single-handedly or cooperatively in multiplayer. This Farm is Your Farm!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2300320/c2a205133d23cd24faf3c152d972a1d0177661b8/header.jpg?t=1775646645,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Simulation
"A vast world awaits in the medieval, dark fantasy action-RPG, Lords of the Fallen. As a fabled Dark Crusader, embark on an epic quest to overthrow Adyr, the demon God. The final major update Version 2.5 is out now: features deadlier boss battles and all-new Veteran Mode.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1501750/c793d85dc133f22112c7283b79dd89e2c0aa58a4/header.jpg?t=1773254369,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure, RPG"
"Risk of Rain is an action platformer with roguelike elements. With permanent death as a primary feature, players will have to play their best to get as far as possible. Fight on a mysterious planet with randomly spawning enemies and bosses, either alone or with 3 friends in online co-op.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/248820/header.jpg?t=1752103021,"Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Adjustable Text Size, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Partial Controller Support, Remote Play on Tablet, Remote Play Together, Family Sharing","Action, Indie, RPG"
"Nine Sols is a lore rich, hand-drawn 2D action-platformer featuring Sekiro-inspired deflection focused combat. Embark on a journey of eastern fantasy, explore the land once home to an ancient alien race, and follow a vengeful hero’s quest to slay the 9 Sols, formidable rulers of this forsaken realm.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1809540/header.jpg?t=1762838904,"Single-player, Steam Achievements, Full controller support, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Stereo Sound, Steam Cloud, Steam Leaderboards, Family Sharing","Action, Adventure, Indie"
"Lost in a frozen wasteland and split up from your partner inside an abandoned castle, the only possession you have left is a walkie-talkie with a familiar voice on the other end. Can the two of you find your way out in time?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/582500/header.jpg?t=1764329099,"Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Custom Volume Controls, Subtitle Options, Partial Controller Support, Steam Cloud","Action, Adventure, Indie, Free To Play"
PlatinumGames’ universally acclaimed action masterpiece finally comes to PC. Experience the over-the-top stylish action in 60fps at unlocked HD resolutions. The definitive way to play: being bad never felt so good.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/460790/header.jpg?t=1763677459,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure"
"MX Bikes is a realistic motocross simulator, based on a scratch built physics engine that accurately simulates motorcycle dynamics and setup options.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/655500/header.jpg?t=1700586164,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Partial Controller Support, Family Sharing","Racing, Simulation, Sports, Early Access"
"Create &amp; destroy on an unimaginable scale with a realistic physics-based space simulator. Explore the beauty of our universe and the fragility of our planet. Use science to bend the laws of gravity, collide planets, boil away oceans, fire epic space lasers, and customize your universe.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230290/header.jpg?t=1745448523,"Single-player, Steam Workshop, Adjustable Text Size, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Save Anytime, Touch Only Option, Partial Controller Support, Steam Cloud, Family Sharing","Casual, Indie, Simulation, Early Access"
"Wartales is an open world RPG in which you lead a group of mercenaries in their search for wealth across a massive medieval universe. Explore the world, recruit companions, collect bounties and unravel the secrets of the tombs of the ancients!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1527950/6de888c33a75f8cc82ec72308166c36c71a3ce9f/header_alt_assets_19.jpg?t=1775722520,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, RPG, Strategy"
"POLYGON is a tactical multiplayer team 1st person shooter. Using various weapons, you will battle with up to 32 players on large-scale maps. Properly managing your arsenal and skills, you will lead your team to victory!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1241100/4e2712703ec7457f8930bd30c1968579c8a03f25/header.jpg?t=1761052622,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Save Anytime, Stereo Sound","Action, Indie, Massively Multiplayer, Free To Play, Early Access"
"DJMAX RESPECT V is the latest installment from the creators of the critically acclaimed rhythm game franchise ‘DJMAX.’ Experience tracks from popular artists such as Marshmello, Porter Robinson, and Yukika, exclusive Full HD Music Videos, online multiplayer, new game modes, and more!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/960170/header.jpg?t=1772009068,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial Controller Support, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Action, Casual, Sports"
"You play Adam Jensen, an ex-SWAT specialist who's been handpicked to oversee the defensive needs of one of America's most experimental biotechnology firms. Your job is to safeguard company secrets, but when a black ops team breaks in and kills the very scientists you were hired to protect, everything you thought you knew about your job...",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238010/header.jpg?t=1726596595,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Commentary available, Remote Play on Tablet, Family Sharing","Action, RPG"
"Discover a reborn Mortal Kombat™ Universe created by the Fire God Liu Kang. Mortal Kombat™ 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1971870/header.jpg?t=1750176505,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Chat Speech-to-text, Chat Text-to-speech, Custom Volume Controls, Keyboard Only Option, Narrated Game Menus, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Remote Play Together, HDR available, Family Sharing",Action
Survive to escape the horrors of Callisto and uncover the dark secrets of Jupiter’s dead moon.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1544020/header.jpg?t=1760331403,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure"
"You’re a state-installed landlord in a totalitarian country. Place listening devices, steal and sneak into your tenants’ apartments. Use what you uncovered to report anyone capable of plotting against the state. You MUST! But WILL you?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/475550/header.jpg?t=1773119808,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","Adventure, Indie, Strategy"
"A classic survival horror experience set in a dystopian future where humanity has uncovered a dark secret. Unravel a cosmic mystery, escape terrifying creatures, and scavenge an off-world government facility as Elster, a technician Replika searching for her lost dreams.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1262350/header.jpg?t=1773697315,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Adventure, Indie"
The great exploits of the Ancient Rus in the war with the lizards. Immerse yourself in the world of Hyperborea and defeat hordes of Lizards and other unholy who encroached on holy places Ancestors. Choose a blessed hero and go save the world from the green plague.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2532550/header.jpg?t=1729113763,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","Action, Adventure, Indie, Massively Multiplayer"
"Carefully designed, beautifully remastered, and loaded with new ways to play—Risk of Rain is back and better than ever! Dive into the iconic roguelike full of unique loot combinations, enhanced with new Survivors, overhauled multiplayer, fan favorite content from Risk of Rain 2, and more!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1337520/header.jpg?t=1759857583,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Subtitle Options, Steam Cloud, Remote Play Together, Family Sharing",Action
"Starship Troopers: Extermination is a 16-player co-op FPS that puts you on the far-off frontlines of an all-out battle against the Bugs! Squad up, grab your rifle, and do your part as an elite Deep Space Vanguard Trooper to take back planets from the Arachnid threat!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1268750/header.jpg?t=1774627317,"Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Family Sharing","Action, Indie"
